time,V_n,W_n
8.7,7.704886913,151.2774353
8.7,7.705887318,151.2971344
8.701,7.705887318,151.2971344
8.701,7.706887722,151.3168182
8.702,7.706887722,151.3168182
8.702,7.707888126,151.3365173
8.703,7.707888126,151.3365173
8.703,7.708888531,151.3561859
8.704,7.708888531,151.3561859
8.704,7.709888935,151.3758698
8.705,7.709888935,151.3758698
8.705,7.710889339,151.3955383
8.706,7.710889339,151.3955383
8.706,7.711889744,151.4152222
8.707,7.711889744,151.4152222
8.707,7.712890148,151.4349213
8.708,7.712890148,151.4349213
8.708,7.713890553,151.4546051
8.709,7.713890553,151.4546051
8.709,7.714890957,151.4743042
8.71,7.714890957,151.4743042
8.71,7.715891361,151.4940033
8.711,7.715891361,151.4940033
8.711,7.716891766,151.5136871
8.712,7.716891766,151.5136871
8.712,7.71789217,151.5333557
8.713,7.71789217,151.5333557
8.713,7.718892574,151.5530243
8.714,7.718892574,151.5530243
8.714,7.719892979,151.5726929
8.715,7.719892979,151.5726929
8.715,7.720893383,151.5923767
8.716,7.720893383,151.5923767
8.716,7.721893787,151.6120605
8.717,7.721893787,151.6120605
8.717,7.722894192,151.6317444
8.718,7.722894192,151.6317444
8.718,7.723894596,151.6514282
8.719,7.723894596,151.6514282
8.719,7.724895,151.6710968
8.72,7.724895,151.6710968
8.72,7.725895405,151.6907806
8.721,7.725895405,151.6907806
8.721,7.726895809,151.7104645
8.722,7.726895809,151.7104645
8.722,7.727896214,151.7301636
8.723,7.727896214,151.7301636
8.723,7.728896618,151.7498627
8.724,7.728896618,151.7498627
8.724,7.729897022,151.7695465
8.725,7.729897022,151.7695465
8.725,7.730897427,151.7892456
8.726,7.730897427,151.7892456
8.726,7.731897831,151.8089142
8.727,7.731897831,151.8089142
8.727,7.732898235,151.828598
8.728,7.732898235,151.828598
8.728,7.73389864,151.8482666
8.729,7.73389864,151.8482666
8.729,7.734899044,151.8679504
8.73,7.734899044,151.8679504
8.73,7.735899448,151.8876343
8.731,7.735899448,151.8876343
8.731,7.736899853,151.9073181
8.732,7.736899853,151.9073181
8.732,7.737900257,151.9270172
8.733,7.737900257,151.9270172
8.733,7.738900661,151.946701
8.734,7.738900661,151.946701
8.734,7.739901066,151.9664001
8.735,7.739901066,151.9664001
8.735,7.74090147,151.986084
8.736,7.74090147,151.986084
8.736,7.741901875,152.0057831
8.737,7.741901875,152.0057831
8.737,7.742902279,152.0254822
8.738,7.742902279,152.0254822
8.738,7.743902683,152.045166
8.739,7.743902683,152.045166
8.739,7.744903088,152.0648499
8.74,7.744903088,152.0648499
8.74,7.745903492,152.0845337
8.741,7.745903492,152.0845337
8.741,7.746903896,152.1042328
8.742,7.746903896,152.1042328
8.742,7.747904301,152.1239014
8.743,7.747904301,152.1239014
8.743,7.748904705,152.1435852
8.744,7.748904705,152.1435852
8.744,7.749905109,152.163269
8.747,7.751905918,152.2026367
8.749,7.754907131,152.2616577
8.751,7.75690794,152.3010254
8.752,7.75690794,152.3010254
8.753,7.757908344,152.3207092
8.753,7.757908344,152.3207092
8.753,7.758908749,152.3403931
8.754,7.758908749,152.3403931
8.754,7.758908749,152.3403931
8.754,7.759909153,152.3600616
8.755,7.759909153,152.3600616
8.755,7.759909153,152.3600616
8.755,7.760909557,152.3797455
8.756,7.760909557,152.3797455
8.756,7.761909962,152.3994293
8.757,7.761909962,152.3994293
8.757,7.762910366,152.4191284
8.757,7.762910366,152.4191284
8.758,7.762910366,152.4191284
8.758,7.76391077,152.4388123
8.759,7.76391077,152.4388123
8.759,7.76391077,152.4388123
8.759,7.764911175,152.4585114
8.76,7.764911175,152.4585114
8.76,7.764911175,152.4585114
8.76,7.765911579,152.4782104
8.761,7.765911579,152.4782104
8.761,7.765911579,152.4782104
8.761,7.766911983,152.4978943
8.762,7.766911983,152.4978943
8.762,7.766911983,152.4978943
8.762,7.766911983,152.4978943
8.762,7.767912388,152.5175781
8.763,7.767912388,152.5175781
8.763,7.767912388,152.5175781
8.763,7.768912792,152.537262
8.764,7.768912792,152.537262
8.764,7.768912792,152.537262
8.764,7.769913197,152.5569611
8.764,7.769913197,152.5569611
8.765,7.769913197,152.5569611
8.765,7.770913601,152.5766296
8.766,7.770913601,152.5766296
8.766,7.771914005,152.5963135
8.767,7.771914005,152.5963135
8.767,7.77291441,152.6159973
8.768,7.77291441,152.6159973
8.768,7.773914814,152.6356812
8.769,7.773914814,152.6356812
8.769,7.774915218,152.655365
8.77,7.774915218,152.655365
8.77,7.775915623,152.6750336
8.771,7.775915623,152.6750336
8.771,7.776916027,152.6947174
8.772,7.776916027,152.6947174
8.772,7.777916431,152.7144012
8.773,7.777916431,152.7144012
8.773,7.778916836,152.7341003
8.774,7.778916836,152.7341003
8.774,7.77991724,152.7537842
8.775,7.77991724,152.7537842
8.775,7.780917645,152.773468
8.776,7.780917645,152.773468
8.776,7.781918049,152.7931519
8.777,7.781918049,152.7931519
8.777,7.782918453,152.8128357
8.778,7.782918453,152.8128357
8.778,7.783918858,152.8325348
8.779,7.783918858,152.8325348
8.779,7.784919262,152.8522186
8.78,7.784919262,152.8522186
8.78,7.785919666,152.8719025
8.781,7.785919666,152.8719025
8.781,7.786920071,152.891571
8.782,7.786920071,152.891571
8.782,7.787920475,152.9112701
8.783,7.787920475,152.9112701
8.783,7.788920879,152.930954
8.784,7.788920879,152.930954
8.784,7.789921284,152.9506378
8.785,7.789921284,152.9506378
8.785,7.790921688,152.9703369
8.786,7.790921688,152.9703369
8.786,7.791922092,152.9900208
8.787,7.791922092,152.9900208
8.787,7.792922497,153.0097046
8.788,7.792922497,153.0097046
8.788,7.793922901,153.0293884
